BODY,STOPWORDS,LEMMATIZED,STEMMED,BIGRAMS,TRIGRAMS
the cleanliness wasnt at prior levels the mammogram machine that your face is forced to press up against smelled like an old ladys armpit i was really disgusted not ok should be sterilized between patients,the cleanliness wasnt at prior levels the mammogram machine that your face is forced to press up against smelled like an old ladys armpit i was really disgusted not ok should be sterilized between patients,the cleanliness be not at prior level the mammogram machine that your face be force to press up against smelled like an old ladys armpit I be really disgusted not ok should be sterilize between patient,the cleanli be not at prior level the mammogram machin that your face be forc to press up against smell like an old ladi armpit i be realli disgust not ok should be steril between patient,"('the', 'cleanli'), ('cleanli', 'be'), ('be', 'not'), ('not', 'at'), ('at', 'prior'), ('prior', 'level'), ('level', 'the'), ('the', 'mammogram'), ('mammogram', 'machin'), ('machin', 'that'), ('that', 'your'), ('your', 'face'), ('face', 'be'), ('be', 'forc'), ('forc', 'to'), ('to', 'press'), ('press', 'up'), ('up', 'against'), ('against', 'smell'), ('smell', 'like'), ('like', 'an'), ('an', 'old'), ('old', 'ladi'), ('ladi', 'armpit'), ('armpit', 'i'), ('i', 'be'), ('be', 'realli'), ('realli', 'disgust'), ('disgust', 'not'), ('not', 'ok'), ('ok', 'should'), ('should', 'be'), ('be', 'steril'), ('steril', 'between'), ('between', 'patient')","('the', 'cleanli', 'be'), ('cleanli', 'be', 'not'), ('be', 'not', 'at'), ('not', 'at', 'prior'), ('at', 'prior', 'level'), ('prior', 'level', 'the'), ('level', 'the', 'mammogram'), ('the', 'mammogram', 'machin'), ('mammogram', 'machin', 'that'), ('machin', 'that', 'your'), ('that', 'your', 'face'), ('your', 'face', 'be'), ('face', 'be', 'forc'), ('be', 'forc', 'to'), ('forc', 'to', 'press'), ('to', 'press', 'up'), ('press', 'up', 'against'), ('up', 'against', 'smell'), ('against', 'smell', 'like'), ('smell', 'like', 'an'), ('like', 'an', 'old'), ('an', 'old', 'ladi'), ('old', 'ladi', 'armpit'), ('ladi', 'armpit', 'i'), ('armpit', 'i', 'be'), ('i', 'be', 'realli'), ('be', 'realli', 'disgust'), ('realli', 'disgust', 'not'), ('disgust', 'not', 'ok'), ('not', 'ok', 'should'), ('ok', 'should', 'be'), ('should', 'be', 'steril'), ('be', 'steril', 'between'), ('steril', 'between', 'patient')"
was a very easy and stress free experience,was a very easy and stress free experience,be a very easy and stress free experience,be a veri easi and stress free experi,"('be', 'a'), ('a', 'veri'), ('veri', 'easi'), ('easi', 'and'), ('and', 'stress'), ('stress', 'free'), ('free', 'experi')","('be', 'a', 'veri'), ('a', 'veri', 'easi'), ('veri', 'easi', 'and'), ('easi', 'and', 'stress'), ('and', 'stress', 'free'), ('stress', 'free', 'experi')"
i have had several recent appointments with advanced radiology every time i am asked to fill out the same questionnaire it is redundant and waste of time,i have had several recent appointments with advanced radiology every time i am asked to fill out the same questionnaire it is redundant and waste of time,I have have several recent appointment with advanced radiology every time I be ask to fill out the same questionnaire it be redundant and waste of time,i have have sever recent appoint with advanc radiolog everi time i be ask to fill out the same questionnair it be redund and wast of time,"('i', 'have'), ('have', 'have'), ('have', 'sever'), ('sever', 'recent'), ('recent', 'appoint'), ('appoint', 'with'), ('with', 'advanc'), ('advanc', 'radiolog'), ('radiolog', 'everi'), ('everi', 'time'), ('time', 'i'), ('i', 'be'), ('be', 'ask'), ('ask', 'to'), ('to', 'fill'), ('fill', 'out'), ('out', 'the'), ('the', 'same'), ('same', 'questionnair'), ('questionnair', 'it'), ('it', 'be'), ('be', 'redund'), ('redund', 'and'), ('and', 'wast'), ('wast', 'of'), ('of', 'time')","('i', 'have', 'have'), ('have', 'have', 'sever'), ('have', 'sever', 'recent'), ('sever', 'recent', 'appoint'), ('recent', 'appoint', 'with'), ('appoint', 'with', 'advanc'), ('with', 'advanc', 'radiolog'), ('advanc', 'radiolog', 'everi'), ('radiolog', 'everi', 'time'), ('everi', 'time', 'i'), ('time', 'i', 'be'), ('i', 'be', 'ask'), ('be', 'ask', 'to'), ('ask', 'to', 'fill'), ('to', 'fill', 'out'), ('fill', 'out', 'the'), ('out', 'the', 'same'), ('the', 'same', 'questionnair'), ('same', 'questionnair', 'it'), ('questionnair', 'it', 'be'), ('it', 'be', 'redund'), ('be', 'redund', 'and'), ('redund', 'and', 'wast'), ('and', 'wast', 'of'), ('wast', 'of', 'time')"
the bathroom that patients use could use some attentionotherwise a very good experience,the bathroom that patients use could use some attentionotherwise a very good experience,the bathroom that patient use could use some attentionotherwise a very good experience,the bathroom that patient use could use some attentionotherwis a veri good experi,"('the', 'bathroom'), ('bathroom', 'that'), ('that', 'patient'), ('patient', 'use'), ('use', 'could'), ('could', 'use'), ('use', 'some'), ('some', 'attentionotherwis'), ('attentionotherwis', 'a'), ('a', 'veri'), ('veri', 'good'), ('good', 'experi')","('the', 'bathroom', 'that'), ('bathroom', 'that', 'patient'), ('that', 'patient', 'use'), ('patient', 'use', 'could'), ('use', 'could', 'use'), ('could', 'use', 'some'), ('use', 'some', 'attentionotherwis'), ('some', 'attentionotherwis', 'a'), ('attentionotherwis', 'a', 'veri'), ('a', 'veri', 'good'), ('veri', 'good', 'experi')"
dawn was great,dawn was great,dawn be great,dawn be great,"('dawn', 'be'), ('be', 'great')","('dawn', 'be', 'great')"
excellent experience,excellent experience,excellent experience,excel experi,"('excel', 'experi')",
very friendly and professional,very friendly and professional,very friendly and professional,veri friend and profession,"('veri', 'friend'), ('friend', 'and'), ('and', 'profession')","('veri', 'friend', 'and'), ('friend', 'and', 'profession')"
thank you for taking such good care of me i find comfort that i have such an amazing team to assist me,thank you for taking such good care of me i find comfort that i have such an amazing team to assist me,thank you for take such good care of I I find comfort that I have such an amazing team to assist I,thank you for take such good care of i i find comfort that i have such an amaz team to assist i,"('thank', 'you'), ('you', 'for'), ('for', 'take'), ('take', 'such'), ('such', 'good'), ('good', 'care'), ('care', 'of'), ('of', 'i'), ('i', 'i'), ('i', 'find'), ('find', 'comfort'), ('comfort', 'that'), ('that', 'i'), ('i', 'have'), ('have', 'such'), ('such', 'an'), ('an', 'amaz'), ('amaz', 'team'), ('team', 'to'), ('to', 'assist'), ('assist', 'i')","('thank', 'you', 'for'), ('you', 'for', 'take'), ('for', 'take', 'such'), ('take', 'such', 'good'), ('such', 'good', 'care'), ('good', 'care', 'of'), ('care', 'of', 'i'), ('of', 'i', 'i'), ('i', 'i', 'find'), ('i', 'find', 'comfort'), ('find', 'comfort', 'that'), ('comfort', 'that', 'i'), ('that', 'i', 'have'), ('i', 'have', 'such'), ('have', 'such', 'an'), ('such', 'an', 'amaz'), ('an', 'amaz', 'team'), ('amaz', 'team', 'to'), ('team', 'to', 'assist'), ('to', 'assist', 'i')"
as first patient on a sunday morning i was surprised to see requests to acknowledge my arrival before the office even opened,as first patient on a sunday morning i was surprised to see requests to acknowledge my arrival before the office even opened,as first patient on a sunday morning I be surprised to see request to acknowledge my arrival before the office even open,as first patient on a sunday morn i be surpris to see request to acknowledg my arriv befor the offic even open,"('as', 'first'), ('first', 'patient'), ('patient', 'on'), ('on', 'a'), ('a', 'sunday'), ('sunday', 'morn'), ('morn', 'i'), ('i', 'be'), ('be', 'surpris'), ('surpris', 'to'), ('to', 'see'), ('see', 'request'), ('request', 'to'), ('to', 'acknowledg'), ('acknowledg', 'my'), ('my', 'arriv'), ('arriv', 'befor'), ('befor', 'the'), ('the', 'offic'), ('offic', 'even'), ('even', 'open')","('as', 'first', 'patient'), ('first', 'patient', 'on'), ('patient', 'on', 'a'), ('on', 'a', 'sunday'), ('a', 'sunday', 'morn'), ('sunday', 'morn', 'i'), ('morn', 'i', 'be'), ('i', 'be', 'surpris'), ('be', 'surpris', 'to'), ('surpris', 'to', 'see'), ('to', 'see', 'request'), ('see', 'request', 'to'), ('request', 'to', 'acknowledg'), ('to', 'acknowledg', 'my'), ('acknowledg', 'my', 'arriv'), ('my', 'arriv', 'befor'), ('arriv', 'befor', 'the'), ('befor', 'the', 'offic'), ('the', 'offic', 'even'), ('offic', 'even', 'open')"
the ladies that helped me were kind were aware of my needs and helped me though the exam,the ladies that helped me were kind were aware of my needs and helped me though the exam,the lady that help I be kind be aware of my need and help I though the exam,the ladi that help i be kind be awar of my need and help i though the exam,"('the', 'ladi'), ('ladi', 'that'), ('that', 'help'), ('help', 'i'), ('i', 'be'), ('be', 'kind'), ('kind', 'be'), ('be', 'awar'), ('awar', 'of'), ('of', 'my'), ('my', 'need'), ('need', 'and'), ('and', 'help'), ('help', 'i'), ('i', 'though'), ('though', 'the'), ('the', 'exam')","('the', 'ladi', 'that'), ('ladi', 'that', 'help'), ('that', 'help', 'i'), ('help', 'i', 'be'), ('i', 'be', 'kind'), ('be', 'kind', 'be'), ('kind', 'be', 'awar'), ('be', 'awar', 'of'), ('awar', 'of', 'my'), ('of', 'my', 'need'), ('my', 'need', 'and'), ('need', 'and', 'help'), ('and', 'help', 'i'), ('help', 'i', 'though'), ('i', 'though', 'the'), ('though', 'the', 'exam')"
very accommodating and gentle very sensitive to my emotions thank you karen in wiltonfairfield ct,very accommodating and gentle very sensitive to my emotions thank you karen in wiltonfairfield ct,very accommodating and gentle very sensitive to my emotion thank you karen in wiltonfairfield ct,veri accommod and gentl veri sensit to my emot thank you karen in wiltonfairfield ct,"('veri', 'accommod'), ('accommod', 'and'), ('and', 'gentl'), ('gentl', 'veri'), ('veri', 'sensit'), ('sensit', 'to'), ('to', 'my'), ('my', 'emot'), ('emot', 'thank'), ('thank', 'you'), ('you', 'karen'), ('karen', 'in'), ('in', 'wiltonfairfield'), ('wiltonfairfield', 'ct')","('veri', 'accommod', 'and'), ('accommod', 'and', 'gentl'), ('and', 'gentl', 'veri'), ('gentl', 'veri', 'sensit'), ('veri', 'sensit', 'to'), ('sensit', 'to', 'my'), ('to', 'my', 'emot'), ('my', 'emot', 'thank'), ('emot', 'thank', 'you'), ('thank', 'you', 'karen'), ('you', 'karen', 'in'), ('karen', 'in', 'wiltonfairfield'), ('in', 'wiltonfairfield', 'ct')"
they were all friendly attentive and great,they were all friendly attentive and great,they be all friendly attentive and great,they be all friend attent and great,"('they', 'be'), ('be', 'all'), ('all', 'friend'), ('friend', 'attent'), ('attent', 'and'), ('and', 'great')","('they', 'be', 'all'), ('be', 'all', 'friend'), ('all', 'friend', 'attent'), ('friend', 'attent', 'and'), ('attent', 'and', 'great')"
the tech who administered my ct scan was outstanding i did not even feel it when she put the needle in for the contrast i really appreciated that overall an excellent experience,the tech who administered my ct scan was outstanding i did not even feel it when she put the needle in for the contrast i really appreciated that overall an excellent experience,the tech who administer my ct scan be outstanding I do not even feel it when she put the needle in for the contrast I really appreciate that overall an excellent experience,the tech who administ my ct scan be outstand i do not even feel it when she put the needl in for the contrast i realli appreci that overal an excel experi,"('the', 'tech'), ('tech', 'who'), ('who', 'administ'), ('administ', 'my'), ('my', 'ct'), ('ct', 'scan'), ('scan', 'be'), ('be', 'outstand'), ('outstand', 'i'), ('i', 'do'), ('do', 'not'), ('not', 'even'), ('even', 'feel'), ('feel', 'it'), ('it', 'when'), ('when', 'she'), ('she', 'put'), ('put', 'the'), ('the', 'needl'), ('needl', 'in'), ('in', 'for'), ('for', 'the'), ('the', 'contrast'), ('contrast', 'i'), ('i', 'realli'), ('realli', 'appreci'), ('appreci', 'that'), ('that', 'overal'), ('overal', 'an'), ('an', 'excel'), ('excel', 'experi')","('the', 'tech', 'who'), ('tech', 'who', 'administ'), ('who', 'administ', 'my'), ('administ', 'my', 'ct'), ('my', 'ct', 'scan'), ('ct', 'scan', 'be'), ('scan', 'be', 'outstand'), ('be', 'outstand', 'i'), ('outstand', 'i', 'do'), ('i', 'do', 'not'), ('do', 'not', 'even'), ('not', 'even', 'feel'), ('even', 'feel', 'it'), ('feel', 'it', 'when'), ('it', 'when', 'she'), ('when', 'she', 'put'), ('she', 'put', 'the'), ('put', 'the', 'needl'), ('the', 'needl', 'in'), ('needl', 'in', 'for'), ('in', 'for', 'the'), ('for', 'the', 'contrast'), ('the', 'contrast', 'i'), ('contrast', 'i', 'realli'), ('i', 'realli', 'appreci'), ('realli', 'appreci', 'that'), ('appreci', 'that', 'overal'), ('that', 'overal', 'an'), ('overal', 'an', 'excel'), ('an', 'excel', 'experi')"
they were very professional and polite and patient,they were very professional and polite and patient,they be very professional and polite and patient,they be veri profession and polit and patient,"('they', 'be'), ('be', 'veri'), ('veri', 'profession'), ('profession', 'and'), ('and', 'polit'), ('polit', 'and'), ('and', 'patient')","('they', 'be', 'veri'), ('be', 'veri', 'profession'), ('veri', 'profession', 'and'), ('profession', 'and', 'polit'), ('and', 'polit', 'and'), ('polit', 'and', 'patient')"
the tech could not have been nicer and put me at ease,the tech could not have been nicer and put me at ease,the tech could not have be nice and put I at ease,the tech could not have be nice and put i at eas,"('the', 'tech'), ('tech', 'could'), ('could', 'not'), ('not', 'have'), ('have', 'be'), ('be', 'nice'), ('nice', 'and'), ('and', 'put'), ('put', 'i'), ('i', 'at'), ('at', 'eas')","('the', 'tech', 'could'), ('tech', 'could', 'not'), ('could', 'not', 'have'), ('not', 'have', 'be'), ('have', 'be', 'nice'), ('be', 'nice', 'and'), ('nice', 'and', 'put'), ('and', 'put', 'i'), ('put', 'i', 'at'), ('i', 'at', 'eas')"
very professional staff and compassionate and caring,very professional staff and compassionate and caring,very professional staff and compassionate and care,veri profession staff and compassion and care,"('veri', 'profession'), ('profession', 'staff'), ('staff', 'and'), ('and', 'compassion'), ('compassion', 'and'), ('and', 'care')","('veri', 'profession', 'staff'), ('profession', 'staff', 'and'), ('staff', 'and', 'compassion'), ('and', 'compassion', 'and'), ('compassion', 'and', 'care')"
liliana reyes is a keeper made me relax and helped relieve my anxieties with her charm and her professional demeanor,liliana reyes is a keeper made me relax and helped relieve my anxieties with her charm and her professional demeanor,liliana reyes be a keeper make I relax and help relieve my anxiety with her charm and her professional demeanor,liliana rey be a keeper make i relax and help reliev my anxieti with her charm and her profession demeanor,"('liliana', 'rey'), ('rey', 'be'), ('be', 'a'), ('a', 'keeper'), ('keeper', 'make'), ('make', 'i'), ('i', 'relax'), ('relax', 'and'), ('and', 'help'), ('help', 'reliev'), ('reliev', 'my'), ('my', 'anxieti'), ('anxieti', 'with'), ('with', 'her'), ('her', 'charm'), ('charm', 'and'), ('and', 'her'), ('her', 'profession'), ('profession', 'demeanor')","('liliana', 'rey', 'be'), ('rey', 'be', 'a'), ('be', 'a', 'keeper'), ('a', 'keeper', 'make'), ('keeper', 'make', 'i'), ('make', 'i', 'relax'), ('i', 'relax', 'and'), ('relax', 'and', 'help'), ('and', 'help', 'reliev'), ('help', 'reliev', 'my'), ('reliev', 'my', 'anxieti'), ('my', 'anxieti', 'with'), ('anxieti', 'with', 'her'), ('with', 'her', 'charm'), ('her', 'charm', 'and'), ('charm', 'and', 'her'), ('and', 'her', 'profession'), ('her', 'profession', 'demeanor')"
everyone was helpful patient and kind,everyone was helpful patient and kind,everyone be helpful patient and kind,everyon be help patient and kind,"('everyon', 'be'), ('be', 'help'), ('help', 'patient'), ('patient', 'and'), ('and', 'kind')","('everyon', 'be', 'help'), ('be', 'help', 'patient'), ('help', 'patient', 'and'), ('patient', 'and', 'kind')"
unable to obtain a clear mri needed to reschedule at a different location,unable to obtain a clear mri needed to reschedule at a different location,unable to obtain a clear mri need to reschedule at a different location,unabl to obtain a clear mri need to reschedul at a differ locat,"('unabl', 'to'), ('to', 'obtain'), ('obtain', 'a'), ('a', 'clear'), ('clear', 'mri'), ('mri', 'need'), ('need', 'to'), ('to', 'reschedul'), ('reschedul', 'at'), ('at', 'a'), ('a', 'differ'), ('differ', 'locat')","('unabl', 'to', 'obtain'), ('to', 'obtain', 'a'), ('obtain', 'a', 'clear'), ('a', 'clear', 'mri'), ('clear', 'mri', 'need'), ('mri', 'need', 'to'), ('need', 'to', 'reschedul'), ('to', 'reschedul', 'at'), ('reschedul', 'at', 'a'), ('at', 'a', 'differ'), ('a', 'differ', 'locat')"
i waited longer than i hoped to with no timeframe provided,i waited longer than i hoped to with no timeframe provided,I wait long than I hope to with no timeframe provide,i wait long than i hope to with no timefram provid,"('i', 'wait'), ('wait', 'long'), ('long', 'than'), ('than', 'i'), ('i', 'hope'), ('hope', 'to'), ('to', 'with'), ('with', 'no'), ('no', 'timefram'), ('timefram', 'provid')","('i', 'wait', 'long'), ('wait', 'long', 'than'), ('long', 'than', 'i'), ('than', 'i', 'hope'), ('i', 'hope', 'to'), ('hope', 'to', 'with'), ('to', 'with', 'no'), ('with', 'no', 'timefram'), ('no', 'timefram', 'provid')"
kelsey is a skilled technician i'm grateful for her good work in being thorough and detecting abnormalities,kelsey is a skilled technician i'm grateful for her good work in being thorough and detecting abnormalities,kelsey be a skilled technician I ' m grateful for her good work in be thorough and detect abnormality,kelsey be a skill technician i ' m grate for her good work in be thorough and detect abnorm,"('kelsey', 'be'), ('be', 'a'), ('a', 'skill'), ('skill', 'technician'), ('technician', 'i'), ('i', ""'""), (""'"", 'm'), ('m', 'grate'), ('grate', 'for'), ('for', 'her'), ('her', 'good'), ('good', 'work'), ('work', 'in'), ('in', 'be'), ('be', 'thorough'), ('thorough', 'and'), ('and', 'detect'), ('detect', 'abnorm')","('kelsey', 'be', 'a'), ('be', 'a', 'skill'), ('a', 'skill', 'technician'), ('skill', 'technician', 'i'), ('technician', 'i', ""'""), ('i', ""'"", 'm'), (""'"", 'm', 'grate'), ('m', 'grate', 'for'), ('grate', 'for', 'her'), ('for', 'her', 'good'), ('her', 'good', 'work'), ('good', 'work', 'in'), ('work', 'in', 'be'), ('in', 'be', 'thorough'), ('be', 'thorough', 'and'), ('thorough', 'and', 'detect'), ('and', 'detect', 'abnorm')"
over all very good experience from entering the building till i left,over all very good experience from entering the building till i left,over all very good experience from enter the building till I leave,over all veri good experi from enter the build till i leav,"('over', 'all'), ('all', 'veri'), ('veri', 'good'), ('good', 'experi'), ('experi', 'from'), ('from', 'enter'), ('enter', 'the'), ('the', 'build'), ('build', 'till'), ('till', 'i'), ('i', 'leav')","('over', 'all', 'veri'), ('all', 'veri', 'good'), ('veri', 'good', 'experi'), ('good', 'experi', 'from'), ('experi', 'from', 'enter'), ('from', 'enter', 'the'), ('enter', 'the', 'build'), ('the', 'build', 'till'), ('build', 'till', 'i'), ('till', 'i', 'leav')"
great team very professional and my scheduled appointments were right on time,great team very professional and my scheduled appointments were right on time,great team very professional and my schedule appointment be right on time,great team veri profession and my schedul appoint be right on time,"('great', 'team'), ('team', 'veri'), ('veri', 'profession'), ('profession', 'and'), ('and', 'my'), ('my', 'schedul'), ('schedul', 'appoint'), ('appoint', 'be'), ('be', 'right'), ('right', 'on'), ('on', 'time')","('great', 'team', 'veri'), ('team', 'veri', 'profession'), ('veri', 'profession', 'and'), ('profession', 'and', 'my'), ('and', 'my', 'schedul'), ('my', 'schedul', 'appoint'), ('schedul', 'appoint', 'be'), ('appoint', 'be', 'right'), ('be', 'right', 'on'), ('right', 'on', 'time')"
the technician was awesome very attentive and caring,the technician was awesome very attentive and caring,the technician be awesome very attentive and care,the technician be awesom veri attent and care,"('the', 'technician'), ('technician', 'be'), ('be', 'awesom'), ('awesom', 'veri'), ('veri', 'attent'), ('attent', 'and'), ('and', 'care')","('the', 'technician', 'be'), ('technician', 'be', 'awesom'), ('be', 'awesom', 'veri'), ('awesom', 'veri', 'attent'), ('veri', 'attent', 'and'), ('attent', 'and', 'care')"
need new xray table that can adjust to height very difficult to maneuver on n off,need new xray table that can adjust to height very difficult to maneuver on n off,need new xray table that can adjust to height very difficult to maneuver on n off,need new xray tabl that can adjust to height veri difficult to maneuv on n off,"('need', 'new'), ('new', 'xray'), ('xray', 'tabl'), ('tabl', 'that'), ('that', 'can'), ('can', 'adjust'), ('adjust', 'to'), ('to', 'height'), ('height', 'veri'), ('veri', 'difficult'), ('difficult', 'to'), ('to', 'maneuv'), ('maneuv', 'on'), ('on', 'n'), ('n', 'off')","('need', 'new', 'xray'), ('new', 'xray', 'tabl'), ('xray', 'tabl', 'that'), ('tabl', 'that', 'can'), ('that', 'can', 'adjust'), ('can', 'adjust', 'to'), ('adjust', 'to', 'height'), ('to', 'height', 'veri'), ('height', 'veri', 'difficult'), ('veri', 'difficult', 'to'), ('difficult', 'to', 'maneuv'), ('to', 'maneuv', 'on'), ('maneuv', 'on', 'n'), ('on', 'n', 'off')"
riley was exceptional she put me at ease and was very knowledgeable,riley was exceptional she put me at ease and was very knowledgeable,riley be exceptional she put I at ease and be very knowledgeable,riley be except she put i at eas and be veri knowledg,"('riley', 'be'), ('be', 'except'), ('except', 'she'), ('she', 'put'), ('put', 'i'), ('i', 'at'), ('at', 'eas'), ('eas', 'and'), ('and', 'be'), ('be', 'veri'), ('veri', 'knowledg')","('riley', 'be', 'except'), ('be', 'except', 'she'), ('except', 'she', 'put'), ('she', 'put', 'i'), ('put', 'i', 'at'), ('i', 'at', 'eas'), ('at', 'eas', 'and'), ('eas', 'and', 'be'), ('and', 'be', 'veri'), ('be', 'veri', 'knowledg')"
appreciate the kindness and professional attitudes,appreciate the kindness and professional attitudes,appreciate the kindness and professional attitude,appreci the kind and profession attitud,"('appreci', 'the'), ('the', 'kind'), ('kind', 'and'), ('and', 'profession'), ('profession', 'attitud')","('appreci', 'the', 'kind'), ('the', 'kind', 'and'), ('kind', 'and', 'profession'), ('and', 'profession', 'attitud')"
nice efficient workforce,nice efficient workforce,nice efficient workforce,nice effici workforc,"('nice', 'effici'), ('effici', 'workforc')","('nice', 'effici', 'workforc')"
great technician,great technician,great technician,great technician,"('great', 'technician')",
i was a walk in and the technician was very considerate and fit me in i was so happy not to have to come back another day,i was a walk in and the technician was very considerate and fit me in i was so happy not to have to come back another day,I be a walk in and the technician be very considerate and fit I in I be so happy not to have to come back another day,i be a walk in and the technician be veri consider and fit i in i be so happi not to have to come back anoth day,"('i', 'be'), ('be', 'a'), ('a', 'walk'), ('walk', 'in'), ('in', 'and'), ('and', 'the'), ('the', 'technician'), ('technician', 'be'), ('be', 'veri'), ('veri', 'consider'), ('consider', 'and'), ('and', 'fit'), ('fit', 'i'), ('i', 'in'), ('in', 'i'), ('i', 'be'), ('be', 'so'), ('so', 'happi'), ('happi', 'not'), ('not', 'to'), ('to', 'have'), ('have', 'to'), ('to', 'come'), ('come', 'back'), ('back', 'anoth'), ('anoth', 'day')","('i', 'be', 'a'), ('be', 'a', 'walk'), ('a', 'walk', 'in'), ('walk', 'in', 'and'), ('in', 'and', 'the'), ('and', 'the', 'technician'), ('the', 'technician', 'be'), ('technician', 'be', 'veri'), ('be', 'veri', 'consider'), ('veri', 'consider', 'and'), ('consider', 'and', 'fit'), ('and', 'fit', 'i'), ('fit', 'i', 'in'), ('i', 'in', 'i'), ('in', 'i', 'be'), ('i', 'be', 'so'), ('be', 'so', 'happi'), ('so', 'happi', 'not'), ('happi', 'not', 'to'), ('not', 'to', 'have'), ('to', 'have', 'to'), ('have', 'to', 'come'), ('to', 'come', 'back'), ('come', 'back', 'anoth'), ('back', 'anoth', 'day')"
very efficient and courteous personnel,very efficient and courteous personnel,very efficient and courteous personnel,veri effici and courteous personnel,"('veri', 'effici'), ('effici', 'and'), ('and', 'courteous'), ('courteous', 'personnel')","('veri', 'effici', 'and'), ('effici', 'and', 'courteous'), ('and', 'courteous', 'personnel')"
i had to wait almost one month for a cncelled appointment,i had to wait almost one month for a cncelled appointment,I have to wait almost one month for a cncelle appointment,i have to wait almost one month for a cncell appoint,"('i', 'have'), ('have', 'to'), ('to', 'wait'), ('wait', 'almost'), ('almost', 'one'), ('one', 'month'), ('month', 'for'), ('for', 'a'), ('a', 'cncell'), ('cncell', 'appoint')","('i', 'have', 'to'), ('have', 'to', 'wait'), ('to', 'wait', 'almost'), ('wait', 'almost', 'one'), ('almost', 'one', 'month'), ('one', 'month', 'for'), ('month', 'for', 'a'), ('for', 'a', 'cncell'), ('a', 'cncell', 'appoint')"
excellent customer service,excellent customer service,excellent customer service,excel custom servic,"('excel', 'custom'), ('custom', 'servic')","('excel', 'custom', 'servic')"
i went to the stratford office and there was two technicians danielle and jody and they made me feel so comfortable i dont usually do reviews but they were amazing they calm me right down because i was worried about a little panic attack with my mri if all your employees are like them you have a winning team thank you danielle and jody,i went to the stratford office and there was two technicians danielle and jody and they made me feel so comfortable i dont usually do reviews but they were amazing they calm me right down because i was worried about a little panic attack with my mri if all your employees are like them you have a winning team thank you danielle and jody,I go to the stratford office and there be two technician danielle and jody and they make I feel so comfortable I do not usually do review but they be amazing they calm I right down because I be worried about a little panic attack with my mri if all your employee be like they you have a win team thank you danielle and jody,i go to the stratford offic and there be two technician daniell and jodi and they make i feel so comfort i do not usual do review but they be amaz they calm i right down becaus i be worri about a littl panic attack with my mri if all your employe be like they you have a win team thank you daniell and jodi,"('i', 'go'), ('go', 'to'), ('to', 'the'), ('the', 'stratford'), ('stratford', 'offic'), ('offic', 'and'), ('and', 'there'), ('there', 'be'), ('be', 'two'), ('two', 'technician'), ('technician', 'daniell'), ('daniell', 'and'), ('and', 'jodi'), ('jodi', 'and'), ('and', 'they'), ('they', 'make'), ('make', 'i'), ('i', 'feel'), ('feel', 'so'), ('so', 'comfort'), ('comfort', 'i'), ('i', 'do'), ('do', 'not'), ('not', 'usual'), ('usual', 'do'), ('do', 'review'), ('review', 'but'), ('but', 'they'), ('they', 'be'), ('be', 'amaz'), ('amaz', 'they'), ('they', 'calm'), ('calm', 'i'), ('i', 'right'), ('right', 'down'), ('down', 'becaus'), ('becaus', 'i'), ('i', 'be'), ('be', 'worri'), ('worri', 'about'), ('about', 'a'), ('a', 'littl'), ('littl', 'panic'), ('panic', 'attack'), ('attack', 'with'), ('with', 'my'), ('my', 'mri'), ('mri', 'if'), ('if', 'all'), ('all', 'your'), ('your', 'employe'), ('employe', 'be'), ('be', 'like'), ('like', 'they'), ('they', 'you'), ('you', 'have'), ('have', 'a'), ('a', 'win'), ('win', 'team'), ('team', 'thank'), ('thank', 'you'), ('you', 'daniell'), ('daniell', 'and'), ('and', 'jodi')","('i', 'go', 'to'), ('go', 'to', 'the'), ('to', 'the', 'stratford'), ('the', 'stratford', 'offic'), ('stratford', 'offic', 'and'), ('offic', 'and', 'there'), ('and', 'there', 'be'), ('there', 'be', 'two'), ('be', 'two', 'technician'), ('two', 'technician', 'daniell'), ('technician', 'daniell', 'and'), ('daniell', 'and', 'jodi'), ('and', 'jodi', 'and'), ('jodi', 'and', 'they'), ('and', 'they', 'make'), ('they', 'make', 'i'), ('make', 'i', 'feel'), ('i', 'feel', 'so'), ('feel', 'so', 'comfort'), ('so', 'comfort', 'i'), ('comfort', 'i', 'do'), ('i', 'do', 'not'), ('do', 'not', 'usual'), ('not', 'usual', 'do'), ('usual', 'do', 'review'), ('do', 'review', 'but'), ('review', 'but', 'they'), ('but', 'they', 'be'), ('they', 'be', 'amaz'), ('be', 'amaz', 'they'), ('amaz', 'they', 'calm'), ('they', 'calm', 'i'), ('calm', 'i', 'right'), ('i', 'right', 'down'), ('right', 'down', 'becaus'), ('down', 'becaus', 'i'), ('becaus', 'i', 'be'), ('i', 'be', 'worri'), ('be', 'worri', 'about'), ('worri', 'about', 'a'), ('about', 'a', 'littl'), ('a', 'littl', 'panic'), ('littl', 'panic', 'attack'), ('panic', 'attack', 'with'), ('attack', 'with', 'my'), ('with', 'my', 'mri'), ('my', 'mri', 'if'), ('mri', 'if', 'all'), ('if', 'all', 'your'), ('all', 'your', 'employe'), ('your', 'employe', 'be'), ('employe', 'be', 'like'), ('be', 'like', 'they'), ('like', 'they', 'you'), ('they', 'you', 'have'), ('you', 'have', 'a'), ('have', 'a', 'win'), ('a', 'win', 'team'), ('win', 'team', 'thank'), ('team', 'thank', 'you'), ('thank', 'you', 'daniell'), ('you', 'daniell', 'and'), ('daniell', 'and', 'jodi')"
